Phone_number,International_calls,Voice_mail,Number_of_voicemails,Daytime_minutes_used,Number_of_calls_during_the_day,Monthly fee,Used_evening_minutes,Number_of_calls_in_the_evening,Subscription_fee_in_the_evening,Using_night_minutes,Number_of_night_calls,Nightly_subscription_fee,Minutes_of_long_distance_calls,Number_of_international_calls,Subscription_fee_for_international_calls,The_number_of_calls_to_the_service_department
414-6219,нет,да,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1
387-1343,да,да,29,139.8,114,23.77,138.2,91,11.75,221.0,88,9.95,5.5,6,1.49,0
370-5527,нет,нет,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2
393-8736,нет,нет,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7
402-7626,нет,нет,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0
370-2688,нет,нет,0,260.0,123,44.2,210.5,127,17.89,234.7,70,10.56,9.0,3,2.43,1
418-9036,нет,нет,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4
417-2035,нет,нет,0,213.0,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0
355-3602,нет,да,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1
393-4027,нет,нет,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6
418-5141,нет,да,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0
406-1247,нет,да,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0
402-3892,нет,нет,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5
332-2965,нет,нет,0,159.8,91,27.17,120.4,86,10.23,163.0,93,7.34,10.6,3,2.86,2
377-1218,нет,да,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1
355-2464,нет,нет,0,287.3,123,48.84,288.0,114,24.48,266.0,112,11.97,10.5,4,2.84,0
404-4611,нет,нет,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2
373-2339,нет,нет,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2
410-3503,нет,нет,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0
410-4739,нет,нет,0,215.9,67,36.7,217.0,108,18.45,342.8,130,15.43,5.2,2,1.4,1
365-3562,нет,нет,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11.0,4,2.97,1
387-7641,нет,нет,0,110.1,113,18.72,169.0,59,14.37,166.7,94,7.5,9.2,2,2.48,1
385-9744,нет,нет,0,111.0,51,18.87,219.8,84,18.68,202.0,89,9.09,4.4,14,1.19,1
398-5006,нет,нет,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1
408-3977,нет,нет,0,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1
334-2729,нет,нет,0,135.4,134,23.02,205.9,85,17.5,204.0,103,9.18,7.9,4,2.13,1
334-7685,нет,нет,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1
350-9228,нет,нет,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14.0,6,3.78,0
407-5774,нет,да,24,130.1,117,22.12,196.0,61,16.66,139.3,123,6.27,11.4,5,3.08,0
413-4039,нет,да,24,175.8,139,29.89,155.0,98,13.18,180.7,64,8.13,7.8,5,2.11,2
343-2077,нет,нет,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1
336-5661,нет,нет,0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0
355-4143,нет,нет,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12.0,2,3.24,1
366-5918,нет,нет,0,200.4,87,34.07,309.2,105,26.28,152.1,118,6.84,10.0,2,2.7,1
368-7555,да,нет,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1
408-2119,нет,нет,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1
329-2789,нет,нет,0,226.3,88,38.47,223.0,107,18.96,255.6,92,11.5,13.0,3,3.51,4
334-1508,нет,да,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0
337-1506,нет,нет,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2
396-8400,нет,нет,0,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1
349-2654,нет,нет,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2
417-2716,нет,нет,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0
402-1725,нет,нет,0,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2
403-3229,нет,нет,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0
353-6056,нет,нет,0,191.9,107,32.62,206.9,127,17.59,272.0,88,12.24,12.6,2,3.4,1
399-9802,нет,да,28,167.9,147,28.54,190.7,105,16.21,193.0,103,8.69,9.2,6,2.48,4
366-7069,нет,нет,0,180.0,88,30.6,145.0,77,12.33,233.7,120,10.52,11.5,6,3.11,2
332-5949,нет,нет,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2
393-6376,нет,да,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11.0,4,2.97,1
354-7025,нет,нет,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1
351-6585,нет,нет,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11.0,3,2.97,1
330-5462,нет,нет,0,103.0,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1
407-2292,нет,нет,0,153.8,89,26.15,234.0,89,19.89,196.3,77,8.83,11.6,2,3.13,4
340-3011,нет,нет,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3
345-9153,нет,да,39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2
379-5503,нет,нет,0,155.9,123,26.5,224.2,112,19.06,221.0,116,9.95,8.6,8,2.32,2
389-6790,нет,да,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0
408-3610,нет,да,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2
375-8238,да,нет,0,150.0,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0
378-5633,нет,да,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,12.3,3,3.32,3
389-9120,нет,нет,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2
380-2758,нет,нет,0,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3
402-2728,нет,нет,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0
354-9062,нет,нет,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3
417-2054,нет,да,30,154.0,75,26.18,165.8,97,14.09,270.0,83,12.15,10.8,5,2.92,1
353-1941,нет,да,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1
328-1522,нет,нет,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0
408-4529,нет,да,22,152.0,63,25.84,258.8,131,22.0,263.2,109,11.84,15.7,5,4.24,2
417-5320,нет,нет,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0
370-9755,нет,да,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1
372-4835,нет,нет,0,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0
334-6605,нет,нет,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1
399-5564,нет,нет,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5.0,5,1.35,3
392-2887,нет,нет,0,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1
328-2110,нет,нет,0,144.0,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0
383-5976,нет,да,31,135.9,90,23.1,271.0,84,23.04,179.1,89,8.06,9.5,7,2.57,6
332-6181,нет,нет,0,334.3,118,56.83,192.1,104,16.33,191.0,83,8.59,10.4,6,2.81,0
330-5255,нет,нет,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13.0,6,3.51,0
413-5190,нет,да,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4
394-7447,нет,нет,0,278.0,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4
353-7096,нет,нет,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0
395-6002,нет,нет,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3
372-9816,нет,да,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1
400-7253,нет,да,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13.0,18,3.51,1
344-7470,нет,нет,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9.0,4,2.43,1
378-8572,нет,нет,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1
345-9140,да,нет,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1
340-5460,нет,да,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1
369-8024,да,да,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1
395-8595,нет,нет,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17.0,4,4.59,3
359-4587,нет,нет,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1
375-5439,нет,да,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0
361-3779,нет,да,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2
375-8934,нет,да,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1
395-4757,нет,нет,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0
421-7205,нет,да,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3
379-8805,нет,нет,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1
348-2150,нет,нет,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0
417-9128,нет,нет,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2
351-4226,нет,нет,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0
330-6630,нет,нет,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0
387-9137,нет,нет,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2
372-3987,нет,нет,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1
408-5183,нет,да,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2
412-9357,нет,да,38,169.3,88,28.78,225.9,97,19.2,172.0,86,7.74,8.2,3,2.21,0
402-3599,нет,да,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1
379-5211,да,нет,0,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,9.8,4,2.65,2
405-9217,нет,нет,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6.0,8.3,4,2.24,2
340-9200,нет,нет,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6.0,7,1.62,1
339-9026,нет,да,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2
343-4772,нет,нет,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3
345-2108,нет,нет,0,246.4,83,41.89,256.2,101,21.78,169.0,151,7.61,3.8,4,1.03,0
401-4650,нет,нет,0,143.4,130,24.38,289.4,50,24.6,194.0,100,8.73,9.7,6,2.62,2
400-3945,нет,нет,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8.0,5,2.16,2
338-3781,нет,нет,0,156.2,93,26.55,193.0,54,16.41,222.7,94,10.02,13.1,5,3.54,1
342-6316,нет,нет,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0
336-5920,нет,нет,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0
332-1060,нет,нет,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1
418-3426,нет,нет,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2
408-6326,нет,нет,0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1
334-6142,нет,нет,0,146.4,74,24.89,148.5,92,12.62,216.7,96,9.75,11.3,3,3.05,1
336-6128,нет,да,33,145.0,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2
406-6708,нет,нет,0,167.8,91,28.53,167.7,69,14.25,110.3,71,4.96,8.4,12,2.27,1
388-8670,нет,нет,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0
363-5853,нет,нет,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2
383-6544,да,нет,0,133.0,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1
378-2940,нет,да,11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1
338-7683,нет,да,28,95.0,94,16.15,291.2,73,24.75,159.6,114,7.18,10.0,2,2.7,2
329-2786,да,нет,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,1
369-9465,нет,нет,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0.0,0,0.0,1
337-3769,нет,нет,0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0
400-6257,нет,да,42,216.0,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,2
411-6663,нет,нет,0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1
384-3101,нет,нет,0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1
339-5329,нет,нет,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2
388-9944,нет,нет,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2
403-1769,нет,нет,0,190.4,74,32.37,215.6,113,18.33,161.2,111,7.25,10.0,1,2.7,2
390-1612,нет,да,32,142.6,77,24.24,208.2,126,17.7,171.0,102,7.69,12.0,2,3.24,3
421-7214,да,нет,0,134.2,80,22.81,165.0,71,14.03,173.1,102,7.79,10.7,5,2.89,0
338-6962,нет,нет,0,111.9,92,19.02,114.0,143,9.69,146.8,79,6.61,14.1,3,3.81,5
333-9826,нет,нет,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2
411-8549,нет,нет,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4
381-9234,нет,да,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0
387-9855,да,да,24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0
371-6990,нет,нет,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3
417-3046,да,нет,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,7.2,4,1.94,4
385-7082,нет,нет,0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4
365-5886,нет,нет,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0
373-5196,нет,нет,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0
327-6194,нет,нет,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0
381-4565,нет,нет,0,147.0,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1
357-9832,нет,да,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2
396-4845,нет,нет,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0
378-6772,да,нет,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1
353-4296,нет,нет,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2
362-8331,нет,нет,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1
362-4685,нет,нет,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1
383-1431,нет,нет,0,201.4,101,34.24,97.6,122,8.3,202.5,119,9.11,7.0,3,1.89,0
332-2258,нет,да,38,123.0,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1
375-8304,нет,нет,0,208.0,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0
340-5580,нет,нет,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1
362-1490,нет,нет,0,193.0,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1
336-4281,нет,да,31,174.5,101,29.67,245.6,105,20.88,172.8,76,7.78,10.3,9,2.78,1
361-1315,нет,да,26,116.7,71,19.84,145.9,88,12.4,175.1,103,7.88,9.9,3,2.67,1
342-5906,нет,нет,0,93.8,127,15.95,150.0,104,12.75,241.1,116,10.85,10.7,2,2.89,1
405-7904,да,да,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2
349-4762,нет,да,29,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0
385-3263,нет,да,25,216.0,140,36.72,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,0
405-9496,нет,нет,0,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,1
396-6775,нет,нет,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0
393-6475,нет,нет,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1
379-7779,нет,нет,0,143.2,92,24.34,209.1,142,17.77,173.0,96,7.79,11.9,9,3.21,1
408-8650,нет,нет,0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5.0,9,1.35,1
400-3497,нет,да,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1
407-9244,нет,нет,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1
406-8809,нет,нет,0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2
358-1778,нет,нет,0,162.0,81,27.54,247.5,89,21.04,155.5,99,7.0,8.9,8,2.4,0
337-4339,нет,да,27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1
344-7197,нет,нет,0,154.2,123,26.21,112.3,86,9.55,246.4,75,11.09,15.4,4,4.16,4
333-7631,нет,нет,0,322.3,113,54.79,222.0,95,18.87,162.8,123,7.33,6.7,8,1.81,0
372-6623,нет,нет,0,209.9,112,35.68,221.3,82,18.81,210.0,93,9.45,8.2,3,2.21,1
363-2602,нет,нет,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0.0,0,0.0,0
387-7757,нет,да,19,291.1,150,49.49,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1
397-5381,нет,нет,0,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3
406-4604,да,нет,0,208.8,101,35.5,213.7,87,18.16,175.1,86,7.88,12.4,6,3.35,3
376-9513,нет,нет,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3
360-1852,нет,нет,0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,12.4,4,3.35,2
421-7270,нет,нет,0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3
371-9482,нет,нет,0,217.0,115,36.89,207.0,142,17.6,268.0,106,12.06,8.2,4,2.21,1
337-4101,нет,да,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0
420-2796,нет,нет,0,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2
366-4225,нет,нет,0,153.4,86,26.08,198.5,81,16.87,164.4,83,7.4,10.4,3,2.81,0
398-4567,нет,нет,0,166.3,95,28.27,239.3,87,20.34,123.2,108,5.54,10.0,3,2.7,2
388-4571,нет,нет,0,185.2,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,2.57,1
360-8666,нет,нет,0,104.6,121,17.78,149.5,71,12.71,255.1,67,11.48,6.5,8,1.76,2
333-3704,нет,нет,0,245.2,105,41.68,159.0,109,13.52,229.9,74,10.35,7.2,8,1.94,0
383-2566,нет,нет,0,274.4,120,46.65,198.6,82,16.88,160.8,62,7.24,6.0,3,1.62,1
406-5584,нет,нет,0,98.4,78,16.73,249.6,129,21.22,248.2,114,11.17,14.2,4,3.83,1
344-4691,нет,да,29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13.0,2,3.51,1
347-9737,нет,нет,0,187.2,127,31.82,195.6,88,16.63,181.8,129,8.18,5.1,4,1.38,1
333-7961,нет,нет,0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3
364-2439,нет,да,35,200.4,104,34.07,272.8,89,23.19,214.5,100,9.65,8.3,4,2.24,1
411-8043,нет,нет,0,162.3,96,27.59,244.0,122,20.74,180.1,89,8.1,9.1,4,2.46,2
332-5084,нет,нет,0,176.9,128,30.07,102.8,56,8.74,213.7,84,9.62,10.5,2,2.84,4
413-4831,нет,нет,0,165.5,78,28.14,205.5,89,17.47,213.6,124,9.61,12.2,6,3.29,0
343-4806,нет,нет,0,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,10.4,5,2.81,4
401-8735,нет,да,28,201.4,100,34.24,246.5,117,20.95,154.8,131,6.97,12.9,4,3.48,2
391-8626,нет,нет,0,190.5,115,32.39,179.6,130,15.27,258.5,89,11.63,10.1,5,2.73,3
327-5817,нет,да,29,179.9,97,30.58,189.2,89,16.08,164.3,76,7.39,12.8,7,3.46,3
381-4712,нет,нет,0,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,5.8,2,1.57,3
335-3320,нет,нет,0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0
415-8780,нет,нет,0,144.6,115,24.58,258.8,66,22.0,253.2,113,11.39,7.4,9,2.0,2
362-1146,нет,нет,0,189.0,100,32.13,118.5,99,10.07,248.1,87,11.16,17.1,6,4.62,0
352-7413,нет,нет,0,101.0,93,17.17,155.6,104,13.23,304.4,93,13.7,13.3,2,3.59,0
387-6716,нет,нет,0,206.3,98,35.07,292.8,82,24.89,43.7,121,1.97,10.6,4,2.86,1
352-1127,нет,да,15,165.1,85,28.07,267.0,93,22.7,250.7,114,11.28,10.9,4,2.94,1
368-1288,нет,нет,0,165.0,129,28.05,202.6,113,17.22,172.3,94,7.75,12.5,7,3.38,1
403-5279,нет,нет,0,155.9,95,26.5,256.1,97,21.77,262.9,103,11.83,11.7,3,3.16,3
397-9333,да,нет,0,199.2,122,33.86,214.7,114,18.25,150.9,105,6.79,11.8,7,3.19,1
411-7353,нет,нет,0,155.3,116,26.4,188.2,85,16.0,247.0,73,11.12,12.3,4,3.32,3
383-2537,нет,нет,0,208.3,106,35.41,236.7,123,20.12,179.1,120,8.06,11.3,5,3.05,3
330-4419,нет,нет,0,157.1,79,26.71,162.6,124,13.82,150.0,138,6.75,12.1,6,3.27,1
390-7930,нет,нет,0,154.4,165,26.25,168.3,121,14.31,239.9,81,10.8,11.7,4,3.16,5
362-5111,нет,нет,0,189.1,105,32.15,246.1,147,20.92,242.0,106,10.89,10.4,5,2.81,1
358-6796,нет,да,24,131.5,98,22.36,230.2,111,19.57,283.7,87,12.77,10.0,3,2.7,2
409-7494,нет,нет,0,166.4,85,28.29,243.2,135,20.67,229.2,95,10.31,9.9,5,2.67,1
400-1636,нет,нет,0,142.3,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2
389-2747,нет,да,19,87.7,103,14.91,223.0,86,18.96,182.3,112,8.2,7.3,4,1.97,2
415-2176,нет,да,19,184.1,78,31.3,194.5,71,16.53,225.6,101,10.15,16.9,3,4.56,0
377-8067,да,да,31,174.5,104,29.67,224.2,92,19.06,116.3,91,5.23,12.3,10,3.32,2
362-7835,нет,нет,0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9.0,2,2.43,2
361-5225,нет,нет,0,35.1,62,5.97,180.8,89,15.37,251.6,58,11.32,12.7,2,3.43,1
333-3447,нет,да,25,246.6,94,41.92,141.4,112,12.02,189.8,109,8.54,13.0,5,3.51,1
341-3044,нет,да,37,78.5,109,13.35,210.5,101,17.89,179.7,102,8.09,11.8,4,3.19,1
350-7306,нет,нет,0,148.1,73,25.18,164.9,101,14.02,216.0,125,9.72,12.3,2,3.32,5
353-8849,нет,нет,0,206.2,84,35.05,256.4,138,21.79,117.1,91,5.27,9.0,3,2.43,1
402-3476,нет,да,33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2
338-6018,да,да,26,270.3,111,45.95,215.2,90,18.29,254.0,133,11.43,14.4,7,3.89,1
409-3520,нет,да,34,156.6,97,26.62,224.2,97,19.06,260.9,135,11.74,11.3,1,3.05,1
357-1085,нет,нет,0,139.4,81,23.7,223.7,113,19.01,173.1,77,7.79,13.6,6,3.67,1
353-3285,нет,нет,0,220.2,108,37.43,188.4,124,16.01,172.7,113,7.77,11.7,3,3.16,2
409-9885,нет,да,39,214.1,108,36.4,169.2,115,14.38,189.7,117,8.54,10.1,3,2.73,1
388-7701,нет,нет,0,196.0,74,33.32,213.4,96,18.14,196.8,81,8.86,7.9,6,2.13,1
385-8184,нет,нет,0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6
345-2863,нет,да,29,179.4,113,30.5,275.4,100,23.41,246.1,105,11.07,10.0,5,2.7,0
353-6300,нет,нет,0,216.7,30,36.84,144.3,125,12.27,135.3,106,6.09,10.8,1,2.92,2
389-5649,нет,нет,0,177.3,129,30.14,152.8,105,12.99,162.9,92,7.33,5.1,2,1.38,0
378-8137,нет,нет,0,151.6,117,25.77,219.4,87,18.65,224.7,68,10.11,4.0,5,1.08,1
340-4627,нет,да,32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0
352-6833,нет,нет,0,173.6,110,29.51,91.7,84,7.79,211.7,103,9.53,9.7,7,2.62,3
420-2000,да,нет,0,106.6,76,18.12,147.4,89,12.53,235.8,113,10.61,9.6,8,2.59,2
368-5437,нет,нет,0,193.3,106,32.86,128.3,94,10.91,162.1,119,7.29,11.6,4,3.13,5
